Rank,Artist,Song,Streams
120,Gunna,Baby Birkin,"244,303"
121,XXXTENTACION,Moonlight,"244,261"
122,J Balvin,LA CANCIÓN,"243,703"
123,Shawn Mendes,If I Can't Have You,"242,058"
124,Halsey,Without Me,"241,679"
125,Lil Mosey,Noticed,"239,904"
126,Post Malone,Staring At The Sun (feat. SZA),"239,373"
127,YG,"Go Loko (feat. Tyga, Jon Z)","236,829"
128,5 Seconds of Summer,Teeth,"234,270"
129,A Boogie Wit da Hoodie,Look Back at It,"233,884"
130,DaBaby,Baby Sitter (feat. Offset),"231,839"
131,Kygo,Higher Love,"231,811"
132,Luke Combs,Beer Never Broke My Heart,"230,041"
133,Kodak Black,ZEZE,"229,930"
134,Dreamville,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)","228,372"
135,Bazzi,Paradise,"227,768"
136,Juice WRLD,All Girls Are The Same,"227,673"
137,Lauv,Feelings,"227,509"
138,Regard,Ride It,"227,395"
139,Ariana Grande,"thank u, next","226,440"
140,YoungBoy Never Broke Again,Self Control,"225,744"
141,Billie Eilish,bury a friend,"224,400"
142,Jhay Cortez,No Me Conoce - Remix,"222,542"
143,Gucci Mane,Big Booty (feat. Megan Thee Stallion),"221,576"
144,Tame Impala,The Less I Know The Better,"221,471"
145,Blueface,Daddy (feat. Rich The Kid),"221,407"
146,Summer Walker,I'll Kill You (feat. Jhené Aiko),"221,368"
147,Lil Uzi Vert,XO Tour Llif3,"219,669"
148,DaBaby,POP STAR (feat. Kevin Gates),"218,515"
149,XXXTENTACION,Fuck Love (feat. Trippie Redd),"215,287"
150,Lil Skies,i,"215,144"
151,NAV,Tap (feat. Meek Mill),"214,448"
152,City Girls,Act Up,"214,405"
153,Billie Eilish,i love you,"213,219"
154,Ski Mask The Slump God,Faucet Failure,"212,918"
155,Blanco Brown,The Git Up,"211,473"
156,SHAED,Trampoline (with ZAYN),"211,081"
157,Queen,Bohemian Rhapsody - Remastered 2011,"209,830"
158,Lil Baby,Yes Indeed,"209,091"
159,Drake,Nonstop,"207,526"
160,Khalid,Right Back (feat. A Boogie Wit Da Hoodie),"207,446"
161,Post Malone,Congratulations,"206,973"
162,Lewis Capaldi,Bruises,"206,931"
163,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),"206,819"
164,Post Malone,Myself,"206,126"
165,A Boogie Wit da Hoodie,Mood Swings,"205,789"
166,Billie Eilish,all the good girls go to hell,"205,672"
167,Juice WRLD,Armed And Dangerous,"205,371"
168,Ambjaay,Uno,"204,641"
169,Khalid,Saturday Nights,"204,047"
170,Offset,Ric Flair Drip (& Metro Boomin),"203,621"
171,Dean Lewis,Be Alright,"199,479"
172,5 Seconds of Summer,Youngblood,"199,434"
173,Billie Eilish,ocean eyes,"199,279"
174,Lady Gaga,Shallow,"199,158"
175,Billie Eilish,wish you were gay,"199,084"
176,Panic! At The Disco,High Hopes,"198,284"
177,Lunay,Soltera - Remix,"197,662"
178,Flipp Dinero,Leave Me Alone,"197,198"
179,Sheck Wes,Mo Bamba,"196,276"
180,Post Malone,Psycho (feat. Ty Dolla $ign),"196,261"
181,Travis Scott,BUTTERFLY EFFECT,"196,075"
182,Sam Smith,Dancing With A Stranger (with Normani),"195,870"
183,Lil Nas X,Rodeo,"195,612"
184,Lauv,I Like Me Better,"195,484"
185,YK Osiris,Worth It,"195,129"
186,Lil Tjay,Brothers,"193,704"
187,Tyga,Taste (feat. Offset),"193,436"
188,Taylor Swift,I Forgot That You Existed,"193,275"
189,Lil Tecca,Shots,"192,881"
190,Maren Morris,The Bones,"192,694"
191,Cardi B,I Like It,"191,541"
192,Ashnikko,STUPID (feat. Yung Baby Tate),"191,489"
193,Dreamville,Under The Sun (with J. Cole & Lute feat. DaBaby),"191,479"
194,DaBaby,"GOSPEL (feat. Chance The Rapper, Gucci Mane & YK Osiris)","191,329"
195,Ellie Goulding,Hate Me (with Juice WRLD),"190,907"
196,H.E.R.,Best Part (feat. Daniel Caesar),"190,727"
197,YNW Melly,Mixed Personalities (feat. Kanye West),"190,717"
198,Young M.A,BIG,"188,943"
199,Khalid,Location,"188,783"
200,Drake,God's Plan,"188,747"
